City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Halifax,CA,75.09,clear sky,44.6453,-63.5724,Hotel Halifax
620,Lamu,KE,75.81,broken clouds,-2.2717,40.902,Lamu House
621,Zimovniki,RU,80.64,clear sky,47.1483,42.4633,Guest House
622,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
625,Simbahan,PH,83.35,broken clouds,6.3032,120.5836,
626,Puerto Escondido,MX,88.12,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
628,Aklavik,CA,85.03,overcast clouds,68.2191,-135.0107,Aklavik Inn
629,Kuching,MY,75.42,mist,1.55,110.3333,The Ranee Boutique Suites
638,Zhuhai,CN,85.05,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
640,Sumenep,ID,76.71,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
647,Mardan,PK,84.74,overcast clouds,34.2019,72.0525,Khyber tobacco
648,Ciudad Bolivar,VE,83.64,scattered clouds,8.1222,-63.5497,Hotel Edi
649,Ixtapa,MX,89.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
650,Esmeralda,CU,86.94,broken clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
651,Manggar,ID,80.56,broken clouds,-2.8833,108.2667,Guest Hotel
653,Kulhudhuffushi,MV,82.31,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
654,Peoria,US,81.18,clear sky,40.7667,-89.7668,Legacy Cabins
655,Anito,PH,81.99,overcast clouds,12.4497,125.2886,The Yellow House
658,Ternate,ID,80.83,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
